"15 U.S.C. 80a-3(c)(3)","usc/15/80a-3/c/3"
"112–114","usc/3/112..114"
"28 U.S.C. 561–569","usc/28/561..569"
"5 U.S.C. 4101–4118","usc/5/4101..4118"
"5 U.S.C. 5922–5924","usc/5/5922..5924"
"subsections (b) through (e)","usc/5/553/b..e"
"subsections (b) through (f) of section 553 of this title","usc/5/553/b..f"
"Subsections (c) through (e)","usc/5/553/c..e"
"Paragraphs (1) through (3) of subsection (f)","usc/5/553/f/1..3"
"Subparagraphs (B) through (H) of subsection (f)(4)","usc/5/553/f/4/B..H"
"subsections (d) through (f) of this section","usc/5/553/d..f"
"subsections (d) through (f) of this subsection","usc/5/553/d..f"
"(f)(1)–(3)","usc/5/553/f/1..3"
"(f)(4)(B)–(F)","usc/5/553/f/4/B..F"
"subsections (b) through (e)","usc/5/609/b..e"
"subsections (a) through (d)","usc/5/610/a..d"
"subsections (b) through (i) of section 3161 of title 5, United States Code","usc/5/3161/b..i"
"22 U.S.C. 6911–6919","usc/22/6911..6919"
"sections 5921 through 5925 of title 5, United States Code","usc/5/5921..5925"
"22 U.S.C. 2501–2523","usc/22/2501..2523"
"subparagraphs (B) through (I)","usc/5/8331//3/B..I"
"subsections (e)through (g) of section 8127 of title 38, United States Code","usc/38/8127/e..g"
"sections 3729 through 3733","usc/31/3729..3733"
"sections3729 through 3733","usc/31/3729..3733"
"sections 3729 through 3733","usc/31/3729..733"
"sections 3729 through 3733","usc/31/3729..3733"
"sections 3729 through 3733 of title 31, United States Code","usc/31/3729..3733"
"paragraphs (1) through (6)","usc/49/5303/b/1..6"
"paragraphs (2) through (7)","usc/49/5303/b/2..7"
"paragraphs (1) through(3)","usc/5/8432/c/1..3"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"paragraphs (5), (6), and (7), respectively, of section 3132(a) of title 5, United States Code","usc/5/3132/a/5..7"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"1115 through 1119 of title 31","usc/31/1115..1119"
"subparagraphs (A) through (E) of paragraph (1)","usc/40/11319/c/1/A..E"
"subsections (a) through (d) of section 550","usc/40/550/a..d"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"sections 3141 through 3148","usc/40/3141..3148"
"sections 3701 through 3708 of title 40, United States Code","usc/40/3701..3708"
"sections 3141 through 3148","usc/40/3141..3148"
"sections 3701 through 3708 of title 40, United States Code","usc/40/3701..3708"
"sections 3141 through 3148","usc/40/3141..3148"
"sections 3701 through 3708 of title 40, United States Code","usc/40/3701..3708"
"sections 3141 through 3148","usc/40/3141..3148"
"sections 3701 through 3708 of title 40, United States Code","usc/40/3701..3708"
"subsections (a) through (i)","usc/5/8339/a..i"
"paragraphs (2) through (5)","usc/5/8341/h/2..5"
"paragraphs (3) through (6)","usc/5/8435/d/3..6"
"2151b–2","usc/22/2151b-2"
"2151b–3","usc/22/2151b-3"
"2151b–4","usc/22/2151b-4"
"paragraphs (4) through (8)","usc/17/804/b/4..8"
"paragraphs (3) through (7)","usc/17/804/b/3..7"
"sections 1475–1477","usc/10/1475..1477"
"sections 1475–1477","usc/10/1475..1477"
"subsections (b) through (e) of section 290 of title 35, United States Code","usc/35/290/b..e"
"subsections (b) through (e) of section 290 of title 35, United States Code","usc/35/290/b..e"
"subsections (b) through (e) of section 290 of title 35, United States Code","usc/35/290/b..e"
